# index, meta, _pos
0,gc,"array([-32.83814267,  21.34158829])"
1,prigaux,"array([-25.87770578,   8.30110187])"
2,fred,"array([-20.29148405,  14.7722147 ])"
3,quintela,"array([-24.26986969,  27.33371587])"
4,jgarzik,"array([-24.29417287,  29.0829036 ])"
5,penso,"array([-40.81707318,  24.75909484])"
6,leviramsey,"array([-41.65433578,  26.1110069 ])"
7,havardk,"array([-16.83060776,  31.55205104])"
8,sh,"array([-31.99628881,  41.70630442])"
9,zappy,"array([27.69431681, 43.84406255])"
10,ollesson,"array([-1.56006542, 39.39099197])"
11,sander,"array([-31.06545284,  51.75452555])"
12,caolan,"array([-24.92654276,  42.27832682])"
13,samth,"array([-31.52856913,  44.26337721])"
14,SteveMallett,"array([-43.46550336,  39.66425769])"
15,duff,"array([-29.72804942,  47.55149481])"
16,MikeCamel,"array([-42.96269068,  43.65642256])"
17,mwk,"array([-31.52649822,  37.0950429 ])"
18,mobius,"array([-37.62667038,  45.66979217])"
19,mbrubeck,"array([-39.97873226,  35.26263747])"
20,tod,"array([-34.35180102,  39.87114696])"
21,rasmus,"array([-29.97095247,  44.70420572])"
22,mrcsparker,"array([-39.56974606,  29.87418875])"
23,jeje,"array([-413.39466327, -111.78220588])"
24,sheath,"array([-3.54391558, 44.31837258])"
25,dwaite,"array([-7.98228241, 41.8647586 ])"
26,Erbo,"array([-9.46712008, 45.73703141])"
27,pgmillard,"array([-4.17815433, 51.23698686])"
28,jeremie,"array([-15.52515989,  47.21920762])"
29,miguel,"array([-21.80364733,  32.84582335])"
30,temas,"array([-13.69341832,  42.6593042 ])"
31,DizzyD,"array([-8.88085095, 44.85987431])"
32,eliot,"array([-14.35919338,  41.98573301])"
33,julian,"array([-21.19259704,  36.64677288])"
34,fingolfin,"array([-17.13041128,  47.6065724 ])"
35,yiran,"array([ -24.5684113 , -373.63675721])"
36,DaveGoehrig,"array([-46.19711939,  46.1312077 ])"
37,agntdrake,"array([-30.70891296,  57.86927026])"
38,tripix,"array([-24.99966494,  44.82568766])"
39,beppu,"array([-24.23114887,  42.09447674])"
40,Astinus,"array([-45.38717177,  23.44226407])"
41,halcy0n,"array([-48.93663795,  30.24395948])"
42,timriker,"array([-24.25663289,  21.28037093])"
43,davej,"array([-26.79914165,  34.83947661])"
44,lkcl,"array([-41.30818005,  33.530922  ])"
45,alan,"array([-21.29041128,  34.77860385])"
46,zulcss,"array([-17.32684664, 342.0392627 ])"
47,itamar,"array([-42.95806419,  41.60780585])"
48,ping,"array([-36.92346761,  48.58749318])"
49,MJ,"array([-35.00426849,  44.74013714])"
50,faassen,"array([-36.47924065,  45.78584684])"
51,shalabh,"array([-34.03123029,  49.46642721])"
52,moshez,"array([-34.75276115,  36.57812807])"
53,Shenka,"array([-41.54674132,  27.87428366])"
54,butchland,"array([-41.67673944,  52.8663938 ])"
55,ppetru,"array([-55.08625651,  61.35299815])"
56,ChrisMcDonough,"array([-45.04524776,  48.79288969])"
57,hathawsh,"array([-41.79471058,  47.74389325])"
58,stevea,"array([-54.61614757,  45.06995428])"
59,hugues,"array([-38.28779704,  26.96317737])"
60,michel,"array([-36.76516419,  51.68962029])"
61,chalst,"array([-48.81633966,  11.26781164])"
62,robla,"array([-36.14809754,  39.71051223])"
63,eli7,"array([-58.82895299,  27.70912356])"
64,mbp,"array([-30.53944684,  41.47687199])"
65,spiv,"array([-43.4227273 ,  32.48745117])"
66,glyph,"array([-41.85376137,  40.0527398 ])"
67,jml,"array([-48.65627973,  33.11074231])"
68,z3p,"array([-50.24241475,  42.81889222])"
69,carmstro,"array([-36.92342805,  46.35865705])"
70,washort,"array([-29.68079792,  46.80341776])"
71,Artimage,"array([-50.07460865,  44.5270742 ])"
72,sjogren,"array([-31.21782193,  19.70736337])"
73,calderone,"array([-50.51260003,  39.17730728])"
74,etrepum,"array([-49.56594488,  50.16536373])"
75,xxant,"array([-68.80568372,  64.75958227])"
76,myamin787,"array([339.33560567, -52.68247749])"
77,stevetaylor,"array([-26.87213701,  44.67075491])"
78,winter,"array([-24.70656032,  56.28444252])"
79,ladypine,"array([-37.94324761,  30.52946858])"
80,Ausmosis,"array([-33.34440284,  42.23045712])"
81,sulaiman,"array([-47.30231548,  40.27902916])"
82,gbowland,"array([-31.57043748,  40.22247503])"
83,doogie,"array([-16.02427436,  31.11112053])"
84,ghaering,"array([-36.95774101,  39.42050159])"
85,netgod,"array([-17.34816801,  36.07321899])"
86,jules,"array([-23.41417406,  40.72864149])"
87,crj,"array([-15.37876404,  50.10336354])"
88,Waldo,"array([-33.05091875,  39.62502137])"
89,shaleh,"array([-17.80331751,  38.7957242 ])"
90,seeS,"array([-20.44036435,  35.37216748])"
91,schoen,"array([-26.69478903,  42.08989465])"
92,sad,"array([-25.82768998,  42.10751808])"
93,RyanMuldoon,"array([-37.3176143 ,  49.07944621])"
94,Ryan,"array([-17.72463306,  39.61379427])"
95,rw2,"array([-29.28213983,  44.35013294])"
96,ruud,"array([-12.72411644,  35.68497412])"
97,rupert,"array([-36.13567861,  39.0293003 ])"
98,rtmfd,"array([-19.05691845,  40.12023658])"
99,afayolle,"array([-40.03666587,  40.06061467])"
100,Daryll,"array([-20.4458297 ,  40.39010601])"
101,darkewolf,"array([-15.50897063,  42.06104394])"
102,csm,"array([-39.38468944,  44.9791932 ])"
103,crackmonkey,"array([-25.76606104,  43.48851604])"
104,cmc,"array([-23.82287097,  55.54075871])"
105,bma,"array([-16.27456456,  38.80709445])"
106,bjf,"array([-39.29874345,  40.7401919 ])"
107,benno,"array([-26.61898483,  55.73421347])"
108,azz,"array([-42.12892702,  36.17170886])"
109,asmodai,"array([-24.54769779,  49.69543531])"
110,angelsun,"array([-32.41166566,  41.00020924])"
111,andrei,"array([-24.88688214,  45.68274442])"
112,ajv,"array([-28.43532339,  44.66394016])"
113,salvadorfb,"array([-5.5399818 ,  5.65496154])"
114,CharlyBrown,"array([-11.12531526,   5.55103854])"
115,gwolf,"array([-19.34067467,  14.15030062])"
116,dennyliao,"array([-21.57416853,  75.65465832])"
117,ssb,"array([-29.42379772,  49.85826018])"
118,lukeh,"array([-24.89366303,  51.69461504])"
119,AndreyGolub,"array([-54.1891839 ,  26.09436188])"
120,advogato,"array([-23.87455398,  43.66152939])"
121,markonen,"array([-61.63993242,  40.03955658])"
122,kalowsky,"array([-90.73289698,  46.68902634])"
123,slamb,"array([-47.79756401,  28.18261736])"
124,haruspex,"array([-54.80911036,  27.18249865])"
125,rms,"array([-24.34364068,  26.49414443])"
126,novelli,"array([-75.16151973,  21.02479596])"
127,karlberry,"array([-40.41209766,  21.64132595])"
128,timbl,"array([-61.72530819,  29.22770607])"
129,piledriver,"array([32.09390209, 36.38233059])"
130,randu,"array([ -8.52810332, -25.79091424])"
131,irb,"array([ -4.22844901, -14.9148949 ])"
132,elgreen,"array([-22.87625858,  -7.9714504 ])"
133,csg,"array([-21.79306217,  66.69601205])"
134,ksb,"array([-31.64933569,  68.79614403])"
135,ab,"array([-26.09175307,  87.62530524])"
136,softweyr,"array([-24.98595298,  55.40121756])"
137,petef,"array([-29.44462479,  65.80835686])"
138,crt0,"array([-26.02153308,  81.80886218])"
139,schultmc,"array([-19.58152466,  49.51998755])"
140,pretzelgod,"array([-16.96302569,  48.81134854])"
141,branden,"array([-18.01956144,  34.1633662 ])"
142,swilde,"array([-18.6198036,  16.3055427])"
143,bernhard,"array([-27.18138429,  37.28504715])"
144,jan,"array([-10.1156158 ,  24.33625429])"
145,coorman,"array([-11.83353794,  14.25996449])"
146,ber,"array([-21.22211834,  31.18392483])"
147,Fefe,"array([-43.1093172 ,  38.56055563])"
148,johnmc,"array([330.66546851, 129.91930056])"
149,kapplegate,"array([15.4708819 , 65.83501503])"
150,netsaint,"array([-12.15085086,  48.38204059])"
151,VUGO,"array([-396.45388305,   -8.98939773])"
152,pom,"array([-26.45463148,  66.93588998])"
153,pliant,"array([-26.15417479,  61.89976525])"
154,huberttonneau,"array([-21.36935492,  88.12452815])"
155,hf,"array([-23.26006569,  84.47716243])"
156,fxn,"array([-38.43787451,  34.28958133])"
157,oka,"array([-22.97855495,  96.42334386])"
158,eel,"array([-6.76044522, 62.76103959])"
159,athomas,"array([-25.70050871,  97.02114983])"
