# index, name, _pos
0,7188,"array([4.18057555, 0.97760367])"
1,1,"array([4.15849621, 1.02390674])"
2,430,"array([4.1197229 , 0.99886933])"
3,3134,"array([4.14476844, 1.02945873])"
4,3026,"array([4.18480322, 0.99087371])"
5,3010,"array([4.18555059, 0.98742969])"
6,804,"array([4.12275076, 1.03081715])"
7,160,"array([4.16497782, 1.03381066])"
8,95,"array([4.11080498, 1.03139318])"
9,377,"array([4.1663301 , 0.97718208])"
10,888,"array([4.16867421, 1.01012358])"
11,89,"array([4.14943521, 1.06188776])"
12,1901,"array([4.19178589, 1.01940804])"
13,161,"array([4.12918423, 1.04160981])"
14,256,"array([4.15182155, 1.06264652])"
15,351,"array([4.11562324, 1.02387156])"
16,3329,"array([4.16758634, 0.98287205])"
17,3341,"array([4.18609884, 1.00752992])"
18,649,"array([4.13287897, 1.02051759])"
19,1583,"array([4.17894955, 0.99840413])"
20,87,"array([4.11053082, 1.02885511])"
21,37,"array([4.13143387, 1.07737827])"
22,309,"array([4.13740404, 1.01733653])"
23,821,"array([4.13526503, 1.01476094])"
24,1496,"array([4.15971411, 1.00709557])"
25,637,"array([4.1343103, 1.0227406])"
26,964,"array([4.11890575, 1.01348918])"
27,594,"array([4.15513364, 1.03700591])"
28,2249,"array([4.18883772, 1.01725691])"
29,554,"array([4.11949976, 1.00184346])"
30,20,"array([4.12700632, 1.06160029])"
31,2227,"array([4.17674282, 0.99561154])"
32,1315,"array([4.20115711, 1.02620199])"
33,519,"array([4.14196083, 1.03335391])"
34,1316,"array([4.1694576, 0.9898652])"
35,2149,"array([4.15952419, 1.03209872])"
36,1724,"array([4.17365037, 1.03516615])"
37,18,"array([4.16702436, 1.05605967])"
38,57,"array([4.1777454 , 1.06539998])"
39,118,"array([4.12623511, 1.02588602])"
40,3254,"array([4.1298876 , 1.01461457])"
41,1177,"array([4.17853381, 1.01543324])"
42,112,"array([4.11839723, 1.02574852])"
43,11,"array([4.12343125, 1.04761988])"
44,586,"array([4.15242268, 1.03936574])"
45,35,"array([4.11048812, 1.05226697])"
46,15,"array([4.08878129, 1.05911324])"
47,1445,"array([4.16020489, 1.05708416])"
48,152,"array([4.12982811, 1.07260272])"
49,2,"array([4.1185746 , 1.06820713])"
50,113,"array([4.12118011, 1.06231325])"
51,44,"array([4.12738775, 1.07289027])"
52,2401,"array([4.1497235 , 1.00014795])"
53,10,"array([4.13759514, 1.05645205])"
54,2378,"array([4.15846125, 1.00104579])"
55,126,"array([4.09576971, 1.06121287])"
56,3245,"array([4.17215849, 0.98713971])"
57,783,"array([4.15405639, 1.05624675])"
58,493,"array([4.13520491, 1.02919074])"
59,1358,"array([4.15959613, 1.02158177])"
60,1180,"array([4.13074131, 1.01656746])"
61,529,"array([4.15631073, 1.07138102])"
62,333,"array([4.12172786, 1.02484133])"
63,1538,"array([4.14650134, 1.01995867])"
64,2282,"array([4.18723791, 0.99634672])"
65,1519,"array([4.14413676, 1.01302298])"
66,2966,"array([4.19144693, 1.00122153])"
67,474,"array([4.1733874 , 1.06378905])"
68,330,"array([4.12624093, 1.03147664])"
69,958,"array([4.10782867, 1.0409911 ])"
70,17,"array([4.12249787, 1.06691691])"
71,1295,"array([4.14547951, 1.06043923])"
72,38,"array([4.16026605, 1.04976792])"
73,1952,"array([4.19465824, 1.02146099])"
74,223,"array([4.13275534, 1.07966295])"
75,625,"array([4.1430563 , 1.06332551])"
76,1392,"array([4.15165634, 1.00447253])"
77,3355,"array([4.19154785, 1.01587399])"
78,1881,"array([4.18003763, 0.99553608])"
79,58,"array([4.12039708, 1.01862463])"
80,96,"array([4.09389451, 1.03137477])"
81,1580,"array([4.14941156, 1.01321024])"
82,196,"array([4.10741879, 1.05054581])"
83,146,"array([4.14720394, 1.04205281])"
84,416,"array([4.1356552 , 1.03153124])"
85,1198,"array([4.1444732 , 1.00841829])"
86,3319,"array([4.17088866, 0.99300455])"
87,1867,"array([4.16358856, 1.00682667])"
88,896,"array([4.14353655, 1.02688224])"
89,617,"array([4.14263661, 1.04643148])"
90,3300,"array([4.18477303, 0.99484401])"
91,1877,"array([4.15890998, 0.99289147])"
92,462,"array([4.11539754, 1.03995356])"
93,3279,"array([4.17567414, 0.99179264])"
94,454,"array([4.13331623, 1.02819066])"
95,1860,"array([4.15920191, 1.01607558])"
96,121,"array([4.15638473, 1.0783683 ])"
97,151,"array([4.18658925, 1.02734194])"
98,1570,"array([4.11907886, 1.0307125 ])"
99,1573,"array([4.15355562, 1.02345176])"
100,1063,"array([4.13304981, 1.0031937 ])"
101,1353,"array([4.148692  , 1.00413768])"
102,459,"array([4.14580519, 1.02522437])"
103,2334,"array([4.15446806, 0.99571318])"
104,1267,"array([4.17291015, 1.06651422])"
105,1060,"array([4.13078542, 1.0206178 ])"
106,1061,"array([4.13648548, 1.00421338])"
107,7431,"array([4.14249156, 1.00597838])"
108,1355,"array([4.16797819, 0.99569726])"
109,71,"array([4.13939906, 1.02342677])"
110,3070,"array([4.1868753 , 1.01444088])"
111,2113,"array([4.2032808 , 1.01754888])"
112,3001,"array([4.17634165, 1.00892002])"
113,396,"array([4.12517267, 1.04425216])"
114,2260,"array([4.19331887, 0.99514349])"
115,142,"array([4.12046956, 1.04660805])"
116,2238,"array([4.14964576, 1.02421363])"
117,123,"array([4.12681429, 1.03810479])"
118,2942,"array([4.19772661, 1.001069  ])"
119,1509,"array([4.14231056, 1.05782323])"
120,7410,"array([4.11586223, 1.058175  ])"
121,1760,"array([4.13298528, 1.03740679])"
122,2876,"array([4.19899231, 1.00419964])"
123,259,"array([4.13363987, 1.03463796])"
124,1493,"array([4.16240261, 1.03159189])"
125,2845,"array([4.18150761, 0.99077984])"
126,370,"array([4.13358753, 1.04795272])"
127,2844,"array([4.16093727, 1.04690339])"
128,2167,"array([4.16174536, 1.03394116])"
129,156,"array([4.13111263, 1.04093998])"
130,2808,"array([4.17887574, 0.98937192])"
131,255,"array([4.13411378, 1.06411262])"
132,736,"array([4.18363175, 1.03664578])"
133,7603,"array([4.12424999, 1.06801521])"
134,346,"array([4.14421502, 1.05033698])"
135,9,"array([4.13130019, 1.0635851 ])"
136,75,"array([4.12785549, 1.06443595])"
137,175,"array([4.14175644, 1.07742375])"
138,2754,"array([4.19679648, 1.00679309])"
139,22,"array([4.12521259, 1.05769711])"
140,155,"array([4.13347139, 1.05833956])"
141,1261,"array([4.20472633, 1.03209922])"
142,2552,"array([4.200498  , 1.04385381])"
143,2586,"array([4.1791661 , 1.00121506])"
144,710,"array([4.13070691, 1.06700055])"
145,578,"array([4.16115298, 1.06027684])"
146,472,"array([4.16151918, 1.07681046])"
147,2472,"array([4.17559476, 1.0800006 ])"
148,1606,"array([4.15062118, 1.06659107])"
149,4,"array([4.12740296, 1.08516418])"
150,563,"array([4.13912908, 1.07501424])"
151,744,"array([4.15396286, 1.05238172])"
152,3422,"array([4.19514761, 1.01045459])"
153,250,"array([4.12828239, 1.05146288])"
154,249,"array([4.12017245, 1.04456325])"
155,2427,"array([4.16516937, 0.98968786])"
156,3414,"array([4.17391154, 0.99436126])"
157,1590,"array([4.10008382, 1.03595649])"
158,2305,"array([4.15790612, 1.04937486])"
159,1900,"array([4.1472891 , 0.99929725])"
160,3392,"array([4.14409298, 0.99348257])"
161,1065,"array([4.12954854, 1.02555573])"
162,1147,"array([4.13204329, 1.03520096])"
163,1072,"array([4.13187671, 1.04311483])"
164,3375,"array([4.18212681, 0.99364442])"
165,1024,"array([4.13449129, 1.01879115])"
166,709,"array([4.11224328, 0.99873215])"
167,1382,"array([4.14650064, 1.00250517])"
168,3332,"array([4.19071145, 0.99251433])"
169,1885,"array([4.16114093, 1.00386635])"
170,3330,"array([4.19197327, 1.01011188])"
171,1197,"array([4.14368552, 1.01514457])"
172,3316,"array([4.18807281, 0.98978255])"
173,1886,"array([4.17254914, 1.00812179])"
174,154,"array([4.1291796 , 1.05509057])"
175,1522,"array([4.1465367 , 1.01517708])"
176,2391,"array([4.15302181, 0.98923113])"
177,3298,"array([4.18182932, 0.98463948])"
178,432,"array([4.13662214, 1.0065245 ])"
179,3292,"array([4.19723453, 1.01974696])"
180,3290,"array([4.17855872, 0.99253836])"
181,7597,"array([4.13002563, 1.01846358])"
182,3274,"array([4.16336584, 0.99237487])"
183,1875,"array([4.14610997, 1.01181155])"
184,291,"array([4.12717376, 1.01282877])"
185,158,"array([4.12824541, 1.02122681])"
186,1579,"array([4.14091341, 1.02430797])"
187,1846,"array([4.14449946, 0.99901705])"
188,1066,"array([4.18538598, 1.0042024 ])"
189,290,"array([4.13162449, 1.03103366])"
190,3233,"array([4.200551  , 1.00692874])"
191,891,"array([4.13789926, 1.00243771])"
192,247,"array([4.13463032, 1.00500266])"
193,1856,"array([4.13972059, 1.01504016])"
194,3211,"array([4.19064184, 1.00698894])"
195,115,"array([4.12614461, 1.02157023])"
196,1365,"array([4.17945983, 1.02265966])"
197,483,"array([4.13599744, 1.04233849])"
198,3210,"array([4.19877211, 1.01279865])"
199,3189,"array([4.1895272 , 1.01264614])"
200,3193,"array([4.1937568 , 1.00721861])"
201,2352,"array([4.14166558, 1.008353  ])"
202,1847,"array([4.14668193, 1.00653497])"
203,3173,"array([4.19815237, 1.0096845 ])"
204,1051,"array([4.11463409, 1.01907991])"
205,1843,"array([4.15054752, 1.0200382 ])"
206,2342,"array([4.15537157, 1.00850014])"
207,7341,"array([4.13947891, 1.01818282])"
208,3139,"array([4.17055109, 0.98056408])"
209,1186,"array([4.13696732, 1.01930655])"
210,3167,"array([4.18872394, 1.00942698])"
211,3149,"array([4.18218571, 0.98789131])"
212,1842,"array([4.16432865, 1.01663253])"
213,3156,"array([4.16351849, 0.99995878])"
