# index, label, value, _pos
0,1000 Years for Revenge,n,"array([-17.19886344,  -0.70297288])"
1,Bush vs. the Beltway,c,"array([-17.15006302,  -0.58652376])"
2,Charlie Wilson's War,c,"array([-17.34341253,  -0.79697238])"
3,Losing Bin Laden,c,"array([-16.88916057,  -0.71486095])"
4,Sleeping With the Devil,n,"array([-17.19819119,  -1.02559267])"
5,The Man Who Warned America,c,"array([-17.19409486,  -0.78877977])"
6,Why America Slept,n,"array([-17.06568114,  -0.75397796])"
7,Ghost Wars,n,"array([-17.28572854,  -1.01545919])"
8,A National Party No More,c,"array([-16.69897946,  -0.80151089])"
9,Bush Country,c,"array([-16.89461901,  -0.93377266])"
10,Dereliction of Duty,c,"array([-16.74550504,  -0.61701191])"
11,Legacy,c,"array([-16.82897729,  -0.82445395])"
12,Off with Their Heads,c,"array([-16.73398637,  -0.73218608])"
13,Persecution,c,"array([-16.67651993,  -0.90199951])"
14,Rumsfeld's War,c,"array([-17.02363215,  -0.86214593])"
15,Breakdown,c,"array([-16.77964354,  -0.46152889])"
16,Betrayal,c,"array([-16.87536022,  -0.4017172 ])"
17,Shut Up and Sing,c,"array([-16.80457324,  -0.69652654])"
18,Meant To Be,n,"array([-16.9968776 ,  -0.54347881])"
19,The Right Man,c,"array([-16.94414081,  -0.85612378])"
20,Ten Minutes from Normal,c,"array([-16.84891061,  -1.02553644])"
21,Hillary's Scheme,c,"array([-16.80442656,  -0.5692747 ])"
22,The French Betrayal of America,c,"array([-16.95746641,  -0.76824512])"
23,Tales from the Left Coast,c,"array([-16.67234612,  -0.61020078])"
24,Hating America,c,"array([-16.76512092,  -0.94975198])"
25,The Third Terrorist,c,"array([-16.98699088,  -0.66507893])"
26,Endgame,c,"array([-16.82090625,  -0.90282771])"
27,Spin Sisters,c,"array([-16.66949917,  -0.7329075 ])"
28,All the Shah's Men,n,"array([-17.17957395,  -1.30568797])"
29,Dangerous Dimplomacy,c,"array([-16.98130827,  -0.96154998])"
30,The Price of Loyalty,l,"array([-17.34571234,  -1.38025355])"
31,"House of Bush, House of Saud",l,"array([-17.27187231,  -1.31937345])"
