# index, name, Curso, Grupo, Sexo, prosocial, crttotal, _pos
0,1091,6,A,Female,0.666666666666667,1,"array([ 6.15773373, -1.35014201])"
1,1090,6,A,Female,1.0,0,"array([ 6.19635888, -1.36021093])"
2,1093,6,A,Female,1.0,2,"array([ 6.2125026 , -1.35847103])"
3,1095,6,A,Male,1.0,0,"array([ 6.16715165, -1.30364885])"
4,1096,6,A,Male,1.0,3,"array([ 6.2166382 , -1.31866247])"
5,1097,6,A,Male,1.0,3,"array([ 6.16058058, -1.36581534])"
6,1098,6,A,Female,1.0,3,"array([ 6.18317266, -1.37163159])"
7,1099,6,A,Male,0.666666666666667,3,"array([ 6.20069126, -1.33968641])"
8,1101,6,A,Female,0.666666666666667,0,"array([ 6.22835802, -1.36748599])"
9,1102,6,A,Female,1.0,1,"array([ 6.11997296, -1.34298721])"
10,1104,6,A,Male,1.0,3,"array([ 6.21027451, -1.29022086])"
11,1105,6,A,Male,1.0,1,"array([ 6.13918266, -1.3713446 ])"
12,1107,6,A,Female,0.666666666666667,2,"array([ 6.13911397, -1.35103317])"
13,1108,6,A,Female,0.333333333333333,3,"array([ 6.1360949 , -1.32678275])"
14,1109,6,A,Female,1.0,3,"array([ 6.19277245, -1.31146119])"
15,1110,6,A,Female,1.0,0,"array([ 6.16825989, -1.38291614])"
16,1111,6,A,Male,0.666666666666667,0,"array([ 6.18092353, -1.3489143 ])"
17,1113,6,A,Female,0.666666666666667,2,"array([ 6.15183983, -1.39425755])"
18,1092,6,A,Male,1.0,1,"array([ 6.23456441, -1.30465859])"
19,1089,6,A,Male,1.0,3,"array([ 6.19289644, -1.39627822])"
20,1100,6,A,Male,0.333333333333333,1,"array([ 6.2051517 , -1.37843674])"
21,1112,6,A,Male,1.0,1,"array([ 6.18882997, -1.32917172])"
22,1103,6,A,Female,1.0,3,"array([ 6.21829664, -1.34024115])"
23,1094,6,A,Male,1.0,3,"array([ 6.14897274, -1.31513443])"
24,1106,6,A,Male,0.666666666666667,1,"array([ 6.16424934, -1.33116506])"
25,1117,6,B,Male,0.333333333333333,0,"array([ 6.2090004 , -1.47674575])"
26,1119,6,B,Male,1.0,1,"array([ 6.16465559, -1.48834886])"
27,1121,6,B,Male,1.0,0,"array([ 6.19040213, -1.43870974])"
28,1129,6,B,Female,0.666666666666667,0,"array([ 6.24194519, -1.40499814])"
29,1131,6,B,Male,0.666666666666667,2,"array([ 6.2310733 , -1.41407059])"
30,1137,6,B,Male,1.0,3,"array([ 6.21264609, -1.40717246])"
31,1114,6,B,Female,1.0,3,"array([ 6.19299754, -1.46143559])"
32,1116,6,B,Male,0.666666666666667,2,"array([ 6.23348862, -1.5019851 ])"
33,1125,6,B,Male,1.0,3,"array([ 6.23708539, -1.48074355])"
34,1118,6,B,Male,1.0,3,"array([ 6.254393  , -1.47503847])"
35,1123,6,B,Female,0.666666666666667,3,"array([ 6.20858866, -1.44544068])"
36,1115,6,B,Female,0.666666666666667,3,"array([ 6.21352683, -1.42765587])"
37,1122,6,B,Female,0.666666666666667,1,"array([ 6.25033313, -1.44566814])"
38,1124,6,B,Female,0.666666666666667,3,"array([ 6.27268415, -1.53115765])"
39,1120,6,B,Female,1.0,2,"array([ 6.21429754, -1.49394152])"
40,1132,6,B,Female,0.666666666666667,1,"array([ 6.2610946 , -1.49865178])"
41,1130,6,B,Female,0.666666666666667,0,"array([ 6.24496179, -1.51982247])"
42,1128,6,B,Male,0.666666666666667,2,"array([ 6.22234411, -1.46475547])"
43,1134,6,B,Female,0.666666666666667,3,"array([ 6.28288567, -1.50221606])"
44,1127,6,B,Female,1.0,0,"array([ 6.24297864, -1.42959942])"
45,1136,6,B,Male,1.0,2,"array([ 6.21838717, -1.39332343])"
46,1133,6,B,Female,0.333333333333333,0,"array([ 6.26576547, -1.43819652])"
47,1207,6,E,Female,0.333333333333333,1,"array([ 6.22080704, -1.52967928])"
48,1138,6,B,Female,1.0,0,"array([ 6.17036219, -1.43787819])"
49,1126,6,B,Female,0.666666666666667,3,"array([ 6.22827345, -1.44164392])"
50,1182,6,D,Male,0.666666666666667,1,"array([ 6.32212627, -1.47916299])"
51,1196,6,E,Male,1.0,2,"array([ 6.12782797, -1.39392659])"
52,1135,6,B,Male,1.0,0,"array([ 6.24146672, -1.45920948])"
53,1146,6,C,Male,1.0,2,"array([ 6.26047076, -1.317313  ])"
54,1162,6,C,Male,1.0,0,"array([ 6.27865217, -1.38201869])"
55,1148,6,C,Male,0.666666666666667,0,"array([ 6.33809537, -1.37206596])"
56,1140,6,C,Male,1.0,1,"array([ 6.26445582, -1.37004156])"
57,1158,6,C,Male,0.666666666666667,3,"array([ 6.35308525, -1.38428773])"
58,1154,6,C,Male,0.666666666666667,2,"array([ 6.23847102, -1.3490108 ])"
59,1169,6,D,Male,0.333333333333333,0,"array([ 6.30926939, -1.42229349])"
60,1197,6,E,Male,1.0,0,"array([ 6.17406249, -1.40034883])"
61,1187,6,D,Female,1.0,3,"array([ 6.29206181, -1.42187186])"
62,1208,6,E,Female,1.0,1,"array([ 6.15732908, -1.46985007])"
63,1192,6,E,Female,1.0,1,"array([ 6.18253755, -1.41929639])"
64,1145,6,C,Male,0.666666666666667,2,"array([ 6.26717036, -1.39815157])"
65,1157,6,C,Female,0.333333333333333,2,"array([ 6.33055547, -1.35536289])"
66,1198,6,E,Female,1.0,0,"array([ 6.15510336, -1.51749094])"
67,1171,6,D,Female,1.0,2,"array([ 6.3295982, -1.4454282])"
68,1165,6,D,Female,1.0,3,"array([ 6.30091513, -1.48186827])"
69,1170,6,D,Male,1.0,0,"array([ 6.28024328, -1.48075989])"
70,1183,6,D,Male,1.0,1,"array([ 6.27768459, -1.42369077])"
71,1179,6,D,Female,1.0,0,"array([ 6.25591511, -1.41887875])"
72,1184,6,D,Female,1.0,3,"array([ 6.29166318, -1.46273744])"
73,1181,6,D,Male,1.0,2,"array([ 6.32172622, -1.4075321 ])"
