# index, Class, WikipediaUrl, name, _pos
0,Applied,https://en.wikipedia.org/wiki/Accounting,Accounting,"array([ 7.73788668, -1.35252961])"
1,Applied,https://en.wikipedia.org/wiki/Aerospace_engineering,Aerospace engineering,"array([ 7.8364412 , -1.43536934])"
2,Applied,https://en.wikipedia.org/wiki/Agricultural_engineering,Agricultural engineering,"array([ 7.72458706, -1.55646375])"
3,Applied,https://en.wikipedia.org/wiki/Agricultural_science,Agricultural science,"array([ 7.6635834 , -1.61372565])"
4,Applied,https://en.wikipedia.org/wiki/Agronomy,Agronomy,"array([ 7.65794435, -1.64257787])"
5,Applied,https://en.wikipedia.org/wiki/Algaculture,Algaculture,"array([ 7.57764172, -1.32096613])"
6,Applied,https://en.wikipedia.org/wiki/Animal_husbandry,Animal husbandry,"array([ 7.62490757, -1.34849761])"
7,Applied,https://en.wikipedia.org/wiki/Applied_linguistics,Applied linguistics,"array([ 7.76844434, -1.5765298 ])"
8,Applied,https://en.wikipedia.org/wiki/Applied_mathematics,Applied mathematics,"array([ 7.88936608, -1.47174973])"
9,Applied,https://en.wikipedia.org/wiki/Applied_physics,Applied physics,"array([ 7.83832112, -1.5461273 ])"
10,Applied,https://en.wikipedia.org/wiki/Applied_science,Applied science,"array([ 7.74532222, -1.51635109])"
11,Applied,https://en.wikipedia.org/wiki/Aquaculture,Aquaculture,"array([ 7.65080744, -1.35211825])"
12,Applied,https://en.wikipedia.org/wiki/Aquatic_plant,Aquatic plant,"array([ 7.74367309, -1.69791632])"
13,Applied,https://en.wikipedia.org/wiki/Arboriculture,Arboriculture,"array([ 7.72485058, -1.63186643])"
14,Applied,https://en.wikipedia.org/wiki/Architectural_engineering,Architectural engineering,"array([ 7.85320694, -1.50823679])"
15,Applied,https://en.wikipedia.org/wiki/Artificial_intelligence,Artificial intelligence,"array([ 7.88653228, -1.35896249])"
16,Applied,https://en.wikipedia.org/wiki/Astronautics,Astronautics,"array([ 7.81590854, -1.58753648])"
17,Applied,https://en.wikipedia.org/wiki/Astronomy,Astronomy,"array([ 7.90100662, -1.49763503])"
18,Applied,https://en.wikipedia.org/wiki/Biological_engineering,Biological engineering,"array([ 7.69751779, -1.48810241])"
19,Applied,https://en.wikipedia.org/wiki/Biomedical_engineering,Biomedical engineering,"array([ 7.76470983, -1.36508774])"
20,Applied,https://en.wikipedia.org/wiki/Building_science,Building science,"array([ 7.83816285, -1.50244945])"
21,Applied,https://en.wikipedia.org/wiki/Business_operations,Business operations,"array([ 7.69117221, -1.36191979])"
