# index, name, _pos
0,1,"array([ 0.18837097, -0.28068294])"
1,2563,"array([ 0.17801825, -0.31949214])"
2,5171,"array([ 0.14970029, -0.30398087])"
3,2246,"array([ 0.21231069, -0.31784191])"
4,830,"array([ 0.19463107, -0.31630411])"
5,2883,"array([ 0.18451248, -0.31164455])"
6,4038,"array([ 0.19745043, -0.30930268])"
7,1461,"array([ 0.19145005, -0.31504701])"
8,3210,"array([ 0.15663457, -0.31680876])"
9,3184,"array([ 0.20176643, -0.33701913])"
10,2600,"array([ 0.15136245, -0.28548742])"
11,4527,"array([ 0.19647659, -0.32108166])"
12,3973,"array([ 0.2124236 , -0.32766035])"
13,2,"array([ 0.12157587, -0.49434862])"
14,334,"array([ 0.10000503, -0.50068191])"
15,3220,"array([ 0.10316632, -0.48735261])"
16,1777,"array([ 0.08360686, -0.47564388])"
17,2795,"array([ 0.13399977, -0.48083368])"
18,2691,"array([ 0.14578307, -0.49052284])"
19,1778,"array([ 0.09937744, -0.48898515])"
20,3389,"array([ 0.15103859, -0.5216784 ])"
21,1480,"array([ 0.11008418, -0.49745163])"
22,1780,"array([ 0.11019172, -0.46564044])"
23,690,"array([ 0.12343044, -0.50735849])"
24,5436,"array([ 0.12550841, -0.5024206 ])"
25,4747,"array([ 0.16588842, -0.51212249])"
26,1291,"array([ 0.13955679, -0.49354109])"
27,1702,"array([ 0.15597129, -0.50746083])"
28,5002,"array([ 0.12635173, -0.49720059])"
29,1679,"array([ 0.13819665, -0.45150213])"
30,4407,"array([ 0.16879605, -0.5029608 ])"
31,4491,"array([ 0.09941181, -0.47420906])"
32,3972,"array([ 0.13165611, -0.49994757])"
33,2200,"array([ 0.11346593, -0.49061653])"
34,4349,"array([ 0.10548806, -0.4900391 ])"
35,2639,"array([ 0.14730572, -0.50783335])"
36,2886,"array([ 0.14368977, -0.53198983])"
37,1451,"array([ 0.07930406, -0.50731732])"
38,3402,"array([ 0.09180376, -0.49297658])"
39,2890,"array([ 0.11637884, -0.49081638])"
40,2025,"array([ 0.11024194, -0.52490456])"
41,528,"array([ 0.1221469 , -0.50267601])"
42,2544,"array([ 0.11003217, -0.46872462])"
43,4176,"array([ 0.0934685 , -0.50025793])"
44,1334,"array([ 0.12193446, -0.51024981])"
45,2203,"array([ 0.10353381, -0.49789136])"
46,4512,"array([ 0.12735366, -0.51471092])"
47,1625,"array([ 0.14664769, -0.49318118])"
48,5450,"array([ 0.1004604 , -0.48305199])"
49,1071,"array([ 0.11951107, -0.52909611])"
50,186,"array([ 0.10985878, -0.49443419])"
51,27,"array([ 0.10050487, -0.49160364])"
52,2385,"array([ 0.1483802 , -0.51892764])"
53,2300,"array([ 0.09046546, -0.50353856])"
54,3257,"array([ 0.09687404, -0.49467224])"
55,3767,"array([ 0.15120131, -0.49155647])"
56,274,"array([ 0.12342044, -0.5000519 ])"
57,3596,"array([ 0.10200157, -0.47720997])"
58,2910,"array([ 0.10476451, -0.47111156])"
59,1543,"array([ 0.08101209, -0.48611379])"
60,2905,"array([ 0.09636941, -0.50166096])"
61,3160,"array([ 0.10879074, -0.4724207 ])"
62,5109,"array([ 0.08789859, -0.50228116])"
63,5031,"array([ 0.08654923, -0.49619842])"
64,1639,"array([ 0.11791247, -0.46620301])"
65,631,"array([ 0.14977481, -0.49589626])"
66,3841,"array([ 0.15840774, -0.5087242 ])"
67,1311,"array([ 0.11740956, -0.48189327])"
68,2311,"array([ 0.10866664, -0.48346401])"
69,3507,"array([ 0.13541302, -0.53914731])"
70,3698,"array([ 0.1301855 , -0.48305121])"
71,1362,"array([ 0.16540109, -0.50290117])"
72,2477,"array([ 0.08493635, -0.48969587])"
73,4870,"array([ 0.15887827, -0.52672404])"
74,553,"array([ 0.10176181, -0.49449456])"
75,1817,"array([ 0.1627515 , -0.50359436])"
76,2232,"array([ 0.14447855, -0.49411366])"
77,1367,"array([ 0.15340007, -0.50868356])"
78,2142,"array([ 0.15293113, -0.49689343])"
79,2405,"array([ 0.1560624 , -0.50172089])"
80,4783,"array([ 0.07599159, -0.48129813])"
81,365,"array([ 0.10337981, -0.49251926])"
82,3872,"array([ 0.17220628, -0.49998299])"
83,5047,"array([ 0.12700056, -0.48848703])"
84,4920,"array([ 0.08957488, -0.48565422])"
85,2752,"array([ 0.11968015, -0.48383086])"
86,4278,"array([ 0.10674533, -0.51855413])"
87,1374,"array([ 0.15552047, -0.49829353])"
88,1984,"array([ 0.16950678, -0.49933402])"
89,737,"array([ 0.1075904 , -0.49911327])"
90,2844,"array([ 0.10372928, -0.47946192])"
91,4282,"array([ 0.15289274, -0.51579749])"
92,4354,"array([ 0.09952956, -0.49390631])"
93,4283,"array([ 0.15846877, -0.50332971])"
94,3094,"array([ 0.13071582, -0.47103367])"
95,209,"array([ 0.10058826, -0.48035747])"
96,3714,"array([ 0.13729864, -0.49019987])"
97,1275,"array([ 0.09640974, -0.49086658])"
98,306,"array([ 0.14883604, -0.48213783])"
99,1100,"array([ 0.09516408, -0.49298035])"
100,375,"array([ 0.12441244, -0.49175559])"
101,1006,"array([ 0.09732551, -0.49919329])"
102,1912,"array([ 0.0932475 , -0.48530393])"
103,3718,"array([ 0.16314139, -0.5131032 ])"
104,2058,"array([ 0.15189752, -0.50482323])"
105,380,"array([ 0.1038281 , -0.46613716])"
106,2677,"array([ 0.09448213, -0.52738701])"
107,5056,"array([ 0.09272321, -0.48062516])"
108,2757,"array([ 0.10540768, -0.48352845])"
109,5375,"array([ 0.14583769, -0.44871843])"
110,3726,"array([ 0.10917078, -0.47571972])"
111,1486,"array([ 0.15460109, -0.52074894])"
112,394,"array([ 0.09362741, -0.4912978 ])"
113,4803,"array([ 0.11578869, -0.49800262])"
114,3728,"array([ 0.11491031, -0.48420515])"
115,4049,"array([ 0.10522102, -0.49372157])"
116,1396,"array([ 0.09993921, -0.47734643])"
117,853,"array([ 0.09934738, -0.4709312 ])"
118,2168,"array([ 0.09486309, -0.49776922])"
119,1583,"array([ 0.09053894, -0.4760821 ])"
120,2256,"array([ 0.10903622, -0.48708061])"
121,1397,"array([ 0.10357902, -0.48241313])"
122,5502,"array([ 0.09628485, -0.48861102])"
123,2777,"array([ 0.10252027, -0.47376368])"
124,4375,"array([ 0.09571261, -0.481699  ])"
125,2689,"array([ 0.09355549, -0.48848789])"
126,4208,"array([ 0.07485319, -0.51595189])"
127,3462,"array([ 0.1009813 , -0.49665809])"
128,2510,"array([ 0.08924975, -0.48922555])"
129,2344,"array([ 0.11029102, -0.49145349])"
130,4056,"array([ 0.08451083, -0.48666177])"
131,4750,"array([ 0.16575656, -0.49023977])"
132,1497,"array([ 0.16068349, -0.52099017])"
133,3979,"array([ 0.12113097, -0.49832838])"
134,3822,"array([ 0.09155869, -0.48353483])"
135,4385,"array([ 0.12962655, -0.48956622])"
136,2739,"array([ 0.09798172, -0.48683895])"
137,4545,"array([ 0.14731637, -0.5227528 ])"
138,862,"array([ 0.13085187, -0.45842703])"
139,5475,"array([ 0.09782516, -0.48249353])"
140,2295,"array([ 0.1652653 , -0.49710485])"
141,1684,"array([ 0.08867241, -0.49166578])"
142,5492,"array([ 0.11253086, -0.47145847])"
143,2522,"array([ 0.12551   , -0.47664012])"
144,4227,"array([ 0.1056466 , -0.48627959])"
145,1435,"array([ 0.10024426, -0.45576135])"
146,4826,"array([ 0.15811106, -0.49198508])"
147,2709,"array([ 0.15787528, -0.49706202])"
148,946,"array([ 0.1035471 , -0.50050212])"
149,4156,"array([ 0.09687693, -0.47628126])"
150,2274,"array([ 0.09151062, -0.48730367])"
151,3268,"array([ 0.11112665, -0.48933435])"
152,1418,"array([ 0.12566014, -0.4730027 ])"
153,3,"array([ 0.14353535, -0.37526468])"
154,5347,"array([ 0.15811728, -0.37485116])"
